Rank,Rating,Title,Year, No. of Reviews
1,1,The Wizard of Oz,1939,109
2,2,The Third Man,1949,76
3,3,Citizen Kane,1941,73
4,4,Mad Max: Fury Road,2015,357
5,5,Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari),1920,48
6,6,All About Eve,1950,64
7,7,The Godfather,1972,84
8,8,Inside Out,2015,318
9,9,Modern Times,1936,53
10,10,Metropolis,1927,115
11,11,E.T. The Extra-Terrestrial,1982,112
12,12,It Happened One Night,1934,52
13,13,Singin' in the Rain,1952,48
14,14,Casablanca,1942,73
15,15,Laura,1944,60
16,16,Boyhood,2014,276
17,17,A Hard Day's Night,1964,102
18,18,Snow White and the Seven Dwarfs,1937,47
19,19,No,erat, a Symphony of Horror (Nosferatu
20,20,La Grande illusion (Grand Illusion),1938,63
21,21,North by Northwest,1959,64
22,22,Repulsion,1965,60
23,23,The Battle of Algiers (La Battaglia di Algeri),1967,80
24,24,Gravity,2013,315
25,25,King Kong,1933,54
26,26,The Maltese Falcon,1941,49
27,27,Rear Window,1954,63
28,28,The Adventures of Robin Hood,1938,45
29,29,Rashômon,1951,49
30,30,Psycho,1960,84
31,31,12 Years a Slave,2013,304
32,32,Toy Story 3,2010,290
33,33,Selma,2015,229
34,34,Toy Story 2,1999,163
35,35,Sunset Boulevard,1950,59
36,36,The Bride of Frankenstein,1935,41
37,37,M,1931,51
38,38,The Philadelphia Story,1940,54
39,39,Argo,2012,306
40,40,Spotlight,2015,292
41,41,Taxi Driver,1976,71
42,42,The Treasure of the Sierra Madre,1948,45
43,43,The 400 Blows (Les Quatre cents coups),1959,54
44,44,Up,2009,285
45,45,Alien,1979,102
46,46,Seven Samurai (Shichinin no Samurai),1956,57
47,47,Bicycle Thieves (Ladri di biciclette),1949,56
48,48,Army of Shadows (L'Armée des ombres),1969,73
49,49,A Streetcar Named Desire,1951,54
50,50,12 Angry Men (Twelve Angry Men),1957,48
51,51,Zootopia,2016,227
52,52,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,1964,73
53,53,The Night of the Hunter,1955,63
54,54,Gone With the Wind,1939,81
55,55,Rebecca,1940,48
56,56,The Conformist,1970,50
57,57,Frankenstein,1931,45
58,58,Rosemary's Baby,1968,69
59,59,Finding Nemo,2003,255
60,60,Vertigo,1958,64
61,61,Touch of Evil,1958,70
62,62,T, Goo, the Bad and the Ugly (1966)
63,63,The Wrestler,2008,220
64,64,L.A. Confidential,1997,108
65,65,Star Wars: Episode VII - The Force Awakens,2015,363
66,66,The Hurt Locker,2009,256
67,67,The 39 Steps,1935,44
68,68,The Dark Knight,2008,317
69,69,The Babadook,2014,206
70,70,Skyfall,2012,347
71,71,Open City,1946,40
72,72,Hell or High Water,2016,208
73,73,Tokyo Story (Tôkyô monogatari),1953,41
74,74,Brooklyn,2015,233
75,75,The Last Picture Show,1971,51
76,76,Star Trek,2009,333
77,77,The Grapes of Wrath,1940,43
78,78,Pinocchio,1940,43
79,79,The Wages of Fear,1953,40
80,80,High Noon,1952,49
81,81,On the Waterfront,1954,60
82,82,Roman Holiday,1953,52
83,83,Harry Potter and the Deathly Hallows - Part 2,2011,310
84,84,Man on Wire,2008,154
85,85,Toy Story,1995,78
86,86,The Go,athe, Part II (1974)
87,87,The Artist,2011,276
88,88,Anatomy of a Murder,1959,42
89,89,Jaws,1975,74
90,90,Lawrence of Arabia,1962,77
91,91,Battleship Potemkin,1925,45
92,92,The Leopard,1963,45
93,93,Chinatown,1974,62
94,94,It Follows,2015,219
95,95,Cool Hand Luke,1967,47
96,96,WALL-E,2008,244
97,97,Annie Hall,1977,66
98,98,An American in Paris,1951,61
99,99,All Quiet on the Western Front,1930,40
100,100,The Lady Vanishes,1938,40
